Country,Year,Indicator,Value,Unit
Austria,1930,Arable land,4 621 152,acres
Austria,1930,Total agricultural land,9 591 221,acres
Austria,1930,Permanent meadow and pasture (Total),5 000 069,acres
Austria,1930,Wood and forest lands,7 294 618,acres
Austria,1930,Unproductive land,1 410 408,acres
Austria,1930,Other land exempt from taxation,41 252,acres
Austria,1930,Lakes, marsh and ponds,16 674,acres
Austria,1930,Not fished,57 051,acres
Austria,1930,Land built on,70 273,acres
Austria,1951,Arable land,1 638 578,hectares
Austria,1951,Land under permanent crops,2 293 049,hectares
Austria,1951,Wood or forest land - Area,2 965 605,hectares
Austria,1951,All other land - Area,757 326,hectares
Austria,1960,Land under permanent crops - Number of holdings reporting,202 792 125 705,Number
Austria,1960,Land under permanent crops - Area,4 111 522 189 269,Hectares
Austria,1960,Permanent meadows and pastures - Number of holdings reporting,266 561 306 367,Number
Austria,1960,Permanent meadows and pastures - Area,2 189 268 969,Hectares
Austria,1960,Wood or forest land - Number of holdings reporting,360 923 770 582,Number
Austria,1960,Wood or forest land - Area,218 926 926,Hectares
Austria,1960,All other land - Number of holdings reporting,360 923 770 582,Number
Austria,1960,All other land - Area,218 926 926,Hectares
Austria,1960,Arable land,1 620 252,hectares
Austria,1960,Permanent meadow and pasture,2 189 269,hectares
Austria,1960,Wood and forest land,3 062 670,hectares
Austria,1960,Wood or forest land - Number of holdings reporting,268 561,Number
Austria,1960,All other land,770 582,hectares
